Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price_inr,Touchscreen,IPS_Panel,PPI
Asus,Netbook,Other Intel Processor,2,Intel HD,Linux/Android/Chrome OS,0.98,21109,0,0,135.0
Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.5,109890,0,1,141.0
HP,Notebook,AMD E-Series,4,AMD Radeon,No OS,1.86,28380,0,0,100.0
Dell,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.62,90090,1,0,166.0
HP,Ultrabook,Intel Core i7,8,Intel HD,Linux/Android/Chrome OS,1.91,72490,0,0,141.0
Dell,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,2.3,46050,0,0,100.0
Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.35,120890,0,0,128.0
Dell,Notebook,Intel Core i5,8,AMD Radeon,Linux/Android/Chrome OS,2.2,88000,0,0,141.0
Dell,Ultrabook,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,1.88,142780,0,0,141.0
HP,Notebook,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.5,98560,0,0,127.0
Asus,Notebook,AMD E-Series,2,AMD Radeon,Linux/Android/Chrome OS,1.65,21890,0,0,112.0
HP,Notebook,AMD A-Series,4,AMD Radeon,Linux/Android/Chrome OS,2.71,48290,0,0,127.0
Dell,Ultrabook,Intel Core i7,16,Intel UHD,Linux/Android/Chrome OS,1.2,205590,1,0,276.0
Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.35,109780,0,0,128.0
Lenovo,Notebook,Other Intel Processor,4,Intel HD,Linux/Android/Chrome OS,1.44,27390,0,0,112.0
Acer,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,2.1,40370,0,0,100.0
Dell,Notebook,Intel Core i5,8,AMD Radeon,Linux/Android/Chrome OS,2.8,107690,0,1,127.0
HP,Notebook,Intel Core i5,4,Intel HD,Linux/Android/Chrome OS,1.86,53756,0,0,100.0
HP,Notebook,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.1,96690,0,0,141.0
Asus,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,2.0,42790,0,0,141.0
Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.65,164890,0,1,141.0
Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.3,57529,0,0,100.0
Acer,Notebook,Intel Core i5,4,Intel UHD,Linux/Android/Chrome OS,2.2,75020,0,1,141.0
Dell,2 in 1 Convertible,Intel Core i5,12,Nvidia GeForce,Linux/Android/Chrome OS,2.77,109890,1,0,127.0
Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,156090,0,1,227.0
Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,2.2,40590,0,0,100.0
Asus,Gaming,AMD Ryzen-Series,8,AMD Radeon,Linux/Android/Chrome OS,3.2,142890,0,0,127.0
Dell,Notebook,Intel Core i5,4,AMD Radeon,Linux/Android/Chrome OS,2.3,70290,0,0,141.0
Asus,Notebook,Other Intel Processor,4,Nvidia GeForce,Linux/Android/Chrome OS,2.8,51260,0,0,91.0
Lenovo,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Linux/Android/Chrome OS,0.69,35090,1,1,224.0
Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,2.2,92510,0,1,141.0
HP,Notebook,AMD A-Series,4,AMD Radeon,Linux/Android/Chrome OS,1.86,43834,0,0,141.0
HP,Notebook,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,1.49,121330,0,0,166.0
Acer,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,2.4,42240,0,0,100.0
Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux/Android/Chrome OS,2.13,84458,0,0,141.0
HP,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,1.91,48290,0,0,141.0
Asus,Notebook,Intel Core i5,4,Intel HD,Linux/Android/Chrome OS,2.0,64481,0,0,100.0
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.43,269390,0,0,127.0
Asus,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,2.0,45650,0,0,141.0
Dell,Notebook,Intel Core i7,16,AMD Radeon,Linux/Android/Chrome OS,2.8,142890,0,0,127.0
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.7,96690,0,0,157.0
Lenovo,Notebook,Intel Core i3,8,Intel HD,No OS,1.7,65890,0,1,157.0
Asus,Notebook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.4,103510,0,0,157.0
HP,Notebook,Intel Core i5,8,Intel HD,Linux/Android/Chrome OS,1.86,75900,0,0,141.0
Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,1.8,218130,0,0,141.0
HP,Notebook,Intel Core i3,4,AMD Radeon,Linux/Android/Chrome OS,1.86,48256,0,0,100.0
HP,Notebook,Other Intel Processor,4,Intel HD,Linux/Android/Chrome OS,1.44,25190,0,0,112.0
Lenovo,Notebook,Intel Core i5,4,Intel HD,Linux/Android/Chrome OS,1.9,60390,0,0,141.0
Asus,Gaming,Intel Core i7,12,Nvidia GeForce,Linux/Android/Chrome OS,3.0,104390,0,0,127.0
Dell,Ultrabook,Intel Core i7,8,AMD Radeon,Linux/Android/Chrome OS,1.4,105050,0,1,166.0
Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux/Android/Chrome OS,2.2,95700,0,0,141.0
MSI,Gaming,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.7,120450,0,0,127.0
Acer,Notebook,Intel Core i3,8,Intel HD,Linux/Android/Chrome OS,2.1,42790,0,0,112.0
Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,2.2,104390,0,0,141.0
Lenovo,Notebook,Intel Core i5,8,Intel HD,No OS,2.2,57090,0,0,141.0
Dell,Notebook,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,2.02,94050,0,0,141.0
Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Linux/Android/Chrome OS,2.2,58300,0,0,141.0
HP,Notebook,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.5,107470,0,0,127.0
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.88,120578,0,1,141.0
Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,0.92,166100,0,1,226.0
HP,Notebook,Intel Core i5,8,Intel HD,Linux/Android/Chrome OS,1.63,94600,0,0,157.0
Lenovo,Notebook,AMD A-Series,4,AMD R4,Linux/Android/Chrome OS,2.2,43890,0,0,141.0
Acer,Notebook,AMD A-Series,4,AMD Radeon,Linux/Android/Chrome OS,2.1,43450,0,0,100.0
Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.65,148390,0,1,141.0
HP,Ultrabook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,1.83,76890,0,1,141.0
HP,Notebook,Intel Core i5,8,Intel HD,Linux/Android/Chrome OS,1.96,65889,0,0,141.0
Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.2,159390,0,1,141.0
Dell,Ultrabook,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,1.21,181390,0,1,166.0
Asus,Gaming,AMD F-Series,8,AMD Radeon,Linux/Android/Chrome OS,2.45,76890,0,0,141.0
Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,2.2,75790,0,0,141.0
HP,Notebook,Intel Core i7,16,Intel UHD,Linux/Android/Chrome OS,1.49,131670,0,0,166.0
Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.65,131450,0,0,141.0
Asus,Ultrabook,Intel Core i7,8,Intel HD,Linux/Android/Chrome OS,1.25,115390,0,0,157.0
Acer,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.5,93170,1,1,166.0
Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux/Android/Chrome OS,2.2,65989,0,0,141.0
Dell,Notebook,Intel Core i3,4,AMD Radeon,Linux/Android/Chrome OS,2.2,53350,0,0,141.0
Asus,Notebook,Intel Core i3,6,Nvidia GeForce,Linux/Android/Chrome OS,2.0,63470,0,0,141.0
HP,Gaming,Intel Core i7,12,Nvidia GeForce,Linux/Android/Chrome OS,2.62,137390,0,1,141.0
HP,Notebook,Intel Core i7,8,AMD Radeon,Linux/Android/Chrome OS,1.91,79090,0,0,141.0
HP,Notebook,AMD E-Series,4,AMD Radeon,Linux/Android/Chrome OS,2.1,38390,0,0,141.0
Dell,Notebook,Intel Core i5,8,AMD Radeon,Linux/Android/Chrome OS,2.2,71170,0,0,141.0
HP,Ultrabook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,1.38,123090,0,1,166.0
HP,Notebook,Intel Core i5,6,Nvidia GeForce,Linux/Android/Chrome OS,1.58,72490,0,1,157.0
Lenovo,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,1.85,45639,0,0,141.0
Asus,Ultrabook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,1.3,131230,0,1,157.0
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.2,142890,0,0,141.0
Lenovo,Notebook,Intel Core i7,8,Intel HD,Linux/Android/Chrome OS,1.58,162800,0,1,157.0
Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,1.5,138820,0,0,141.0
Dell,Ultrabook,Intel Core i7,8,Intel Iris,Linux/Android/Chrome OS,1.23,151690,1,0,276.0
Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel HD,Linux/Android/Chrome OS,1.37,153890,1,1,166.0
HP,Notebook,Intel Core i5,4,Intel UHD,Linux/Android/Chrome OS,1.63,79420,0,1,112.0
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.21,179190,0,1,166.0
HP,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.26,153889,1,1,166.0
HP,Notebook,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,1.63,119240,0,0,157.0
Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,2.16,124336,0,1,141.0
Asus,Notebook,Intel Core i3,4,Nvidia GeForce,Linux/Android/Chrome OS,2.0,62040,0,0,127.0
Asus,Notebook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,1.7,122980,0,0,141.0
Acer,Notebook,Intel Core i3,6,Intel HD,Linux/Android/Chrome OS,2.1,52690,1,1,141.0
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,1.8,246565,0,0,141.0
Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.2,69190,0,0,141.0
HP,Notebook,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.5,139810,0,0,127.0
Acer,Notebook,AMD A-Series,4,AMD Radeon,Linux/Android/Chrome OS,2.1,49610,0,0,100.0
HP,Notebook,Other Intel Processor,4,Intel HD,No OS,1.86,28490,0,0,100.0
HP,Notebook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.63,89320,0,0,157.0
Asus,Notebook,AMD E-Series,4,AMD Radeon,Windows 10,1.65,30579,0,0,112.0
Dell,Notebook,Intel Core i7,16,AMD Radeon,Linux/Android/Chrome OS,2.8,153560,0,0,127.0
HP,Notebook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,2.5,102080,0,0,127.0
Dell,Notebook,Intel Core i5,8,AMD Radeon,Linux/Android/Chrome OS,2.36,70289,0,0,100.0
Dell,Notebook,Intel Core i3,4,AMD Radeon,Linux/Android/Chrome OS,2.2,49390,0,0,141.0
Acer,Ultrabook,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,1.6,97240,0,1,157.0
Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Linux/Android/Chrome OS,2.2,62920,0,0,141.0
HP,Notebook,Intel Core i7,8,Intel HD,Linux/Android/Chrome OS,2.05,65780,0,0,100.0
HP,Notebook,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,1.63,108680,0,0,157.0
Lenovo,Notebook,Other Intel Processor,4,Intel HD,No OS,1.9,27760,0,0,100.0
Asus,Gaming,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,3.0,103180,0,0,127.0
Lenovo,Notebook,Intel Core i5,4,Nvidia GeForce,No OS,2.2,54890,0,0,141.0
HP,Notebook,Intel Core i5,4,Intel HD,Linux/Android/Chrome OS,1.32,76890,0,1,166.0
Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Linux/Android/Chrome OS,3.0,72050,0,1,127.0
Lenovo,Notebook,Intel Core i5,8,AMD Radeon,Linux/Android/Chrome OS,1.75,122762,0,1,157.0
Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,No OS,2.4,95590,0,1,141.0
Toshiba,Notebook,Intel Core i5,4,Intel HD,Linux/Android/Chrome OS,2.1,66220,0,0,100.0
HP,Notebook,AMD A-Series,4,AMD Radeon,Linux/Android/Chrome OS,1.86,40590,0,0,100.0
Asus,Ultrabook,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,1.25,120890,0,0,157.0
HP,Ultrabook,Other Intel Processor,8,Intel HD,Linux/Android/Chrome OS,0.97,221540,1,1,352.0
Asus,Notebook,Other Intel Processor,4,Intel HD,Linux/Android/Chrome OS,2.0,37840,0,0,141.0
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.9,223190,0,0,127.0
Acer,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,2.1,49170,0,0,100.0
Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.56,137419,0,0,141.0
Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,2.62,98890,0,0,141.0
Lenovo,Notebook,Intel Core i5,4,Intel HD,Linux/Android/Chrome OS,1.9,54780,0,0,100.0
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.8,207900,0,0,127.0
HP,Ultrabook,Intel Core i5,4,Intel HD,Linux/Android/Chrome OS,1.48,119020,0,0,157.0
HP,Notebook,Intel Core i5,6,AMD Radeon,Linux/Android/Chrome OS,1.91,68090,0,0,141.0
Lenovo,2 in 1 Convertible,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,1.74,69190,1,1,157.0
Asus,2 in 1 Convertible,Intel Core i5,8,Intel HD,Linux/Android/Chrome OS,1.1,144650,1,0,166.0
Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,1.56,115390,1,0,141.0
Toshiba,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,2.1,49170,0,0,100.0
Asus,Notebook,AMD A-Series,4,AMD Radeon,Linux/Android/Chrome OS,2.03,44330,0,0,100.0
Acer,Notebook,Intel Core i5,4,Nvidia GeForce,Linux/Android/Chrome OS,3.0,88550,0,1,127.0
Dell,Notebook,Intel Core i5,8,AMD Radeon,Linux/Android/Chrome OS,2.13,80080,0,0,141.0
Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.5,118690,0,1,141.0
Acer,Notebook,Other Intel Processor,4,Intel HD,Linux/Android/Chrome OS,2.1,38280,0,0,100.0
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.4,197890,0,1,141.0
Acer,Notebook,Other Intel Processor,4,Intel HD,Linux/Android/Chrome OS,2.1,39986,0,0,100.0
Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,2.56,116654,0,0,141.0
Acer,Notebook,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,3.0,93940,0,1,127.0
HP,Notebook,Intel Core i5,4,Intel UHD,Linux/Android/Chrome OS,1.49,82940,0,1,166.0
HP,Notebook,Intel Core i5,6,AMD Radeon,Linux/Android/Chrome OS,2.71,76890,0,1,127.0
Lenovo,Notebook,AMD A-Series,4,AMD Radeon,No OS,2.2,33990,0,0,100.0
Toshiba,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,2.0,53790,0,0,100.0
HP,Notebook,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.5,101530,0,0,127.0
Dell,Notebook,Intel Core i3,8,Intel HD,Linux/Android/Chrome OS,2.3,50490,0,0,100.0
Acer,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,2.1,49390,0,0,100.0
MSI,Gaming,Intel Core i7,32,Nvidia GTX,Linux/Android/Chrome OS,4.4,307890,0,0,120.0
Lenovo,Notebook,Intel Core i5,8,AMD R17M-M1-70,Linux/Android/Chrome OS,1.9,89430,0,0,141.0
HP,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.29,164890,1,1,331.0
Dell,Notebook,Intel Core i7,16,AMD Radeon,Linux/Android/Chrome OS,2.02,115390,0,0,141.0
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.23,153890,0,0,166.0
Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Linux/Android/Chrome OS,1.4,203390,1,1,317.0
Toshiba,Notebook,Intel Core i5,8,Intel HD,Linux/Android/Chrome OS,2.0,87230,0,0,100.0
Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.77,170390,1,0,127.0
Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.06,263670,1,0,282.0
Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,No OS,2.4,85690,0,1,141.0
Acer,Ultrabook,Intel Core i5,8,Intel HD,Linux/Android/Chrome OS,1.12,108790,0,1,166.0
Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux/Android/Chrome OS,2.8,119350,0,0,127.0
Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Linux/Android/Chrome OS,1.42,310640,1,0,210.0
Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.8,76780,0,0,106.0
Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,1.62,92290,1,1,166.0
HP,Notebook,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.5,100540,0,1,127.0
HP,Notebook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.49,105490,0,0,166.0
HP,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,3.35,151690,0,1,127.0
HP,Notebook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,2.5,114950,0,0,127.0
Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.65,202950,0,1,282.0
Lenovo,Notebook,Intel Core i5,4,Intel HD,Linux/Android/Chrome OS,2.1,54230,0,0,100.0
Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,2.23,81620,0,0,141.0
Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,3.2,192390,0,1,141.0
Dell,Workstation,Other Intel Processor,16,Nvidia Quadro,Linux/Android/Chrome OS,2.8,336050,0,0,282.0
Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,No OS,2.4,153780,0,0,141.0
Dell,Notebook,Intel Core i3,6,Intel HD,Linux/Android/Chrome OS,2.3,48290,1,0,100.0
Dell,Ultrabook,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,1.21,214390,1,1,331.0
Dell,Ultrabook,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,1.2,159390,0,0,166.0
Lenovo,Notebook,Intel Core i5,8,Intel HD,Linux/Android/Chrome OS,2.2,65670,0,0,100.0
Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,2.4,85690,0,0,141.0
Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.9,154770,0,0,127.0
HP,Notebook,Intel Core i3,4,Intel HD,No OS,2.1,38390,0,0,141.0
Lenovo,Notebook,Intel Core i5,8,Intel HD,No OS,2.2,60390,0,0,141.0
Dell,Ultrabook,Intel Core i7,8,AMD Radeon,Linux/Android/Chrome OS,1.4,102507,0,1,166.0
Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.8,64790,0,0,106.0
HP,Notebook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,1.63,113410,0,0,157.0
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.6,126390,0,0,157.0
Dell,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Linux/Android/Chrome OS,1.62,140690,1,0,166.0
Dell,Notebook,Intel Core i5,8,AMD Radeon,Linux/Android/Chrome OS,2.2,74508,0,0,141.0
Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.74,98890,0,1,157.0
Toshiba,Ultrabook,Intel Core i7,8,Intel HD,Linux/Android/Chrome OS,1.2,149930,0,0,166.0
HP,Notebook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,2.1,87340,0,0,141.0
Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,4.42,270197,0,1,127.0
Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,2.2,91520,0,0,141.0
Dell,Notebook,Intel Core i7,16,AMD Radeon,Linux/Android/Chrome OS,2.3,94491,1,0,141.0
Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.0,84590,0,0,141.0
Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.69,98010,0,0,127.0
HP,Notebook,Intel Core i7,8,AMD FirePro,Linux/Android/Chrome OS,1.9,139590,0,0,141.0
Asus,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,2.37,43889,0,0,100.0
HP,Notebook,AMD E-Series,4,AMD Radeon,Linux/Android/Chrome OS,2.1,36300,0,0,100.0
Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,3.2,164890,0,1,141.0
Dell,Notebook,Intel Core i5,8,Intel HD,Linux/Android/Chrome OS,1.6,94490,0,0,157.0
Acer,2 in 1 Convertible,Intel Core i5,8,Intel HD,Linux/Android/Chrome OS,1.6,75790,1,1,166.0
Dell,Notebook,Intel Core i7,16,AMD Radeon,Linux/Android/Chrome OS,2.36,98890,0,0,141.0
Acer,Notebook,Intel Core i3,4,Intel HD,Linux/Android/Chrome OS,2.1,42900,0,0,100.0
Asus,Notebook,AMD A-Series,4,AMD Radeon,Linux/Android/Chrome OS,2.2,63250,0,0,141.0
Asus,Gaming,Intel Core i7,32,Nvidia GeForce,Linux/Android/Chrome OS,4.7,427900,0,0,127.0
Acer,Gaming,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.5,93060,0,1,141.0
Lenovo,Notebook,Intel Core i3,8,Intel HD,Linux/Android/Chrome OS,2.2,64790,0,0,100.0
Asus,Notebook,Intel Core i7,8,Nvidia GeForce,Linux/Android/Chrome OS,2.1,125950,0,0,127.0
Asus,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.69,97790,0,0,127.0
Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Linux/Android/Chrome OS,2.56,96690,0,0,141.0
Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel HD,Linux/Android/Chrome OS,1.38,118690,1,1,158.0
Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux/Android/Chrome OS,2.2,108350,0,0,141.0
HP,Notebook,Intel Core i5,8,Intel HD,Linux/Android/Chrome OS,2.04,61490,1,0,100.0
Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,3.6,329890,0,0,127.0
HP,Notebook,Intel Core i5,4,Intel UHD,Linux/Android/Chrome OS,1.49,74250,0,1,166.0
Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,224400,0,1,227.0
Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,2.08,90090,1,1,141.0
Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,4.3,197890,0,0,127.0
Asus,Notebook,AMD A-Series,4,AMD Radeon,Linux/Android/Chrome OS,1.68,51590,0,0,100.0
Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Linux/Android/Chrome OS,1.37,203390,1,1,158.0
Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Linux/Android/Chrome OS,3.0,77220,0,1,127.0
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.41,104390,0,0,166.0
HP,Notebook,AMD A-Series,8,AMD Radeon,Linux/Android/Chrome OS,1.91,49049,0,0,100.0
HP,Notebook,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,2.9,116490,0,1,127.0
